epoch,pair,trades,wins,losses,win_rate,net_pips,avg_pips,epsilon,mean_loss
1,EURUSD,24,7,17,29.2,-114.4,-4.77,1.0,0.0
1,GBPUSD,33,7,26,21.2,-246.4,-7.47,1.0,21.9782
1,USDJPY,35,10,25,28.6,-230.3,-6.58,0.998,21.3982
1,GBPJPY,43,18,25,41.9,436.7,10.16,0.995,20.541
1,AUDUSD,22,5,17,22.7,-268.7,-12.21,0.994,19.2331
1,USDCAD,19,8,11,42.1,141.4,7.44,0.993,17.6844
1,XAUUSD,264,52,212,19.7,-2040.0,-7.73,0.976,15.6404
2,EURUSD,28,6,22,21.4,-347.1,-12.4,0.975,13.9415
2,GBPUSD,33,9,24,27.3,-60.2,-1.82,0.973,14.0835
2,USDJPY,33,10,23,30.3,-39.1,-1.18,0.971,14.9592
2,GBPJPY,47,17,30,36.2,193.3,4.11,0.968,13.8007
2,AUDUSD,20,6,14,30.0,-109.5,-5.47,0.967,12.6557
2,USDCAD,18,9,9,50.0,188.6,10.48,0.965,16.7333
2,XAUUSD,259,46,213,17.8,-2745.0,-10.6,0.949,14.1463
3,EURUSD,25,10,15,40.0,-25.8,-1.03,0.948,14.4137
3,GBPUSD,31,11,20,35.5,-8.8,-0.28,0.946,14.786
3,USDJPY,37,11,26,29.7,-149.4,-4.04,0.943,14.8235
3,GBPJPY,47,20,27,42.6,556.7,11.84,0.941,15.1114
3,AUDUSD,17,10,7,58.8,253.6,14.92,0.94,17.1518
3,USDCAD,17,6,11,35.3,-42.7,-2.51,0.938,15.1663
3,XAUUSD,257,49,208,19.1,-2010.0,-7.82,0.922,14.549
4,EURUSD,24,7,17,29.2,-153.2,-6.38,0.92,14.548
4,GBPUSD,28,13,15,46.4,315.0,11.25,0.918,14.2509
4,USDJPY,32,12,20,37.5,75.0,2.34,0.916,15.0051
4,GBPJPY,43,19,24,44.2,427.7,9.95,0.913,14.8237
4,AUDUSD,18,10,8,55.6,247.4,13.74,0.912,15.7604
4,USDCAD,18,9,9,50.0,331.5,18.42,0.911,15.079
4,XAUUSD,240,37,203,15.4,-2940.0,-12.25,0.894,14.6242
5,EURUSD,23,7,16,30.4,-92.9,-4.04,0.893,14.1618
5,GBPUSD,32,11,21,34.4,-24.6,-0.77,0.891,13.1214
5,USDJPY,32,14,18,43.8,290.1,9.07,0.889,14.133
5,GBPJPY,38,18,20,47.4,628.3,16.53,0.887,14.4242
5,AUDUSD,18,7,11,38.9,-35.2,-1.96,0.886,14.4463
5,USDCAD,15,10,5,66.7,442.8,29.52,0.885,15.3492
5,XAUUSD,228,40,188,17.5,-2355.0,-10.33,0.869,14.0946
